series,episode,theme,group
1,1,cakes,cakes
1,2,biscuits,biscuits
1,3,bread,bread
1,4,puddings,other
1,5,pastry,pastry
1,6,tea party finale,final
2,1,cakes,cakes
2,2,tarts,pies and tarts
2,3,bread,bread
2,4,biscuits,biscuits
2,5,pies,pies and tarts
2,6,desserts,desserts
2,7,patisserie,patisserie
2,8,final,final
3,1,cakes,cakes
3,2,bread,bread
3,3,tarts,pies and tarts
3,4,desserts,desserts
3,5,pies,pies and tarts
3,6,puddings,other
3,7,sweet dough,other
3,8,biscuits,biscuits
3,9,patisserie,patisserie
3,10,final,final
4,1,cakes,cakes
4,2,bread,bread
4,3,desserts,desserts
4,4,pies and tarts,pies and tarts
4,5,biscuits and traybakes,biscuits
4,6,sweet dough,other
4,7,pastry,pastry
4,8,alternative ingredients,special ingredients
4,9,french week,historical or regional
4,10,final,final
5,1,cakes,cakes
5,2,biscuits,biscuits
5,3,bread,bread
5,4,desserts,desserts
5,5,pies and tarts,pies and tarts
5,6,european cakes,historical or regional
5,7,pastry,pastry
5,8,advanced dough,other
5,9,patisserie,patisserie
5,10,final,final
6,1,cakes,cakes
6,2,biscuits,biscuits
6,3,bread,bread
6,4,desserts,desserts
6,5,alternative ingredients,special ingredients
6,6,pastry,pastry
6,7,victorian,historical or regional
6,8,patisserie,patisserie
6,9,chocolate,special ingredients
6,10,final,final
7,1,cakes,cakes
7,2,biscuits,biscuits
7,3,bread,bread
7,4,batter,other
7,5,pastry,pastry
7,6,botanical,special ingredients
7,7,desserts,desserts
7,8,tudor,historical or regional
7,9,patisserie,patisserie
7,10,royal picnic final,final
8,1,cakes,cakes
8,2,biscuits,biscuits
8,3,bread,bread
8,4,caramel,special ingredients
8,5,puddings,other
8,6,pastry,pastry
8,7,italian,historical or regional
8,8,forgotten bakes,historical or regional
8,9,patisserie,patisserie
8,10,final,final
9,1,biscuits,biscuits
9,2,cakes,cakes
9,3,bread,bread
9,4,desserts,desserts
9,5,spice,special ingredients
9,6,pastry,pastry
9,7,vegan,special ingredients
9,8,danish,historical or regional
9,9,patisserie,patisserie
9,10,final,final
10,1,cakes,cakes
10,2,biscuits,biscuits
10,3,bread,bread
10,4,dairy,special ingredients
10,5,the roaring twenties,historical or regional
10,6,desserts,desserts
10,7,festivals,historical or regional
10,8,pastry,pastry
10,9,patisserie,patisserie
10,10,final,final